,,,,,
,,THEME,QUESTION,SQL,KEY PURPOSE
,,Sessionize,Build 30-min sessions from events.,"WITH e AS ( SELECT user_id, ts, CASE WHEN lag(ts) OVER (PARTITION BY user_id ORDER BY ts) IS NULL OR date_diff('minute', lag(ts) OVER (PARTITION BY user_id ORDER BY ts), ts) > 30 THEN 1 ELSE 0 END AS new_s FROM events ), s AS ( SELECT user_id, ts, sum(new_s) OVER (PARTITION BY user_id ORDER BY ts) AS sid FROM e ) SELECT * FROM s",Gap-based segmentation
,,MTA simple,Split booking revenue equally across channels observed in 7-day lookback.,"WITH hist AS ( SELECT b.booking_id, b.payout, array_agg(DISTINCT s.channel) FILTER (WHERE s.start_ts BETWEEN b.ts - INTERVAL '7' day AND b.ts) AS chs FROM bookings b JOIN sessions s ON b.user_id=s.user_id GROUP BY 1,2 ), explode AS ( SELECT booking_id, payout, ch, cardinality(chs) AS k FROM hist CROSS JOIN UNNEST(chs) AS t(ch) ) SELECT ch AS channel, sum(payout*1.0/k) AS attrib_rev FROM explode GROUP BY 1","UNNEST, equal split"
,,Percentiles,Time-to-book percentiles.,"WITH t AS ( SELECT b.user_id, min_by(s.start_ts, s.start_ts) AS first_s, min_by(b.ts, b.ts) AS first_b FROM bookings b JOIN sessions s ON b.session_id=s.session_id GROUP BY 1 ) SELECT approx_percentile( date_diff('hour', first_s, first_b), ARRAY[0.5,0.9,0.95] ) AS p50_p90_p95 FROM t",approx_percentile
,,UTM parse,Extract utm params from landing_url.,"SELECT session_id, url_extract_parameter(landing_url,'utm_source') AS utm_source, url_extract_parameter(landing_url,'utm_campaign') AS utm_campaign FROM sessions",Built-ins for URL
,,De-dupe,Pick one device per user by latest seen.,"SELECT user_id, max_by(device, start_ts) AS primary_device FROM sessions GROUP BY 1",max_by again
,,Pivot,Pivot revenue by channel (wide).,"SELECT date_trunc('day', b.ts) AS d, sum(CASE WHEN s.channel='Paid Search' THEN b.payout END) AS paid_search, sum(CASE WHEN s.channel='Paid Social' THEN b.payout END) AS paid_social, sum(CASE WHEN s.channel='Affiliates' THEN b.payout END) AS affiliates FROM bookings b JOIN sessions s ON b.session_id=s.session_id GROUP BY 1 ORDER BY 1",Conditional agg
,,Top paths,Top 10 channel paths within 7 days pre-booking.,"WITH seq AS ( SELECT b.booking_id, array_join( array_agg(s.channel ORDER BY s.start_ts), ' > ') AS path FROM bookings b JOIN sessions s ON b.user_id=s.user_id AND s.start_ts BETWEEN b.ts - INTERVAL '7' day AND b.ts GROUP BY 1 ) SELECT path, count(*) AS n FROM seq GROUP BY 1 ORDER BY n DESC LIMIT 10",array_agg + order
,,Anomaly,Z-score for daily spend by channel.,"WITH x AS ( SELECT dt, channel, spend, avg(spend) OVER (PARTITION BY channel ORDER BY dt ROWS BETWEEN 14 PRECEDING AND CURRENT ROW) AS mu, stddev_samp(spend) OVER (PARTITION BY channel ORDER BY dt ROWS BETWEEN 14 PRECEDING AND CURRENT ROW) AS sd FROM channel_spend ) SELECT dt, channel, spend, (spend-mu)/NULLIF(sd,0) AS z FROM x","Rolling mean, sd"
,,Dedup clicks,First click after impression within 24h.,"SELECT i.impression_id, min_by(c.click_id, c.ts) AS first_click FROM ad_impressions i LEFT JOIN ad_clicks c ON c.user_id=i.user_id AND c.campaign_id=i.campaign_id AND c.ts BETWEEN i.ts AND i.ts + INTERVAL '24' hour GROUP BY 1",min_by with time
,,CPA,CPA by campaign with trims (1st–99th pct).,"WITH conv AS ( SELECT c.campaign_id, c.click_id, min_by(b.booking_id, b.ts) AS first_book, min_by(b.payout, b.ts) AS rev FROM ad_clicks c LEFT JOIN bookings b ON b.user_id=c.user_id AND b.ts BETWEEN c.ts AND c.ts+INTERVAL '7' day GROUP BY 1,2 ), cpa AS ( SELECT campaign_id, CASE WHEN first_book IS NOT NULL THEN 1 END AS conv FROM conv ) , agg AS ( SELECT campaign_id, sum(conv) AS convs FROM cpa GROUP BY 1 ) SELECT s.campaign_id, sum(s.spend)/NULLIF(a.convs,0) AS cpa FROM channel_spend s JOIN agg a ON s.campaign_id=a.campaign_id GROUP BY 1",Trim via horizon + first conversion
,,HLL,Approx unique users per channel.,"SELECT s.channel, approx_distinct(b.user_id) AS users FROM bookings b JOIN sessions s ON b.session_id=s.session_id GROUP BY 1",approx_distinct
,,Cohort ROAS,Signup-month cohort ROAS in 30d.,"WITH c AS ( SELECT user_id, date_trunc('month', signup_ts) AS cohort FROM users ), r AS ( SELECT c.cohort, sum(b.payout) AS rev FROM c JOIN bookings b ON b.user_id=c.user_id AND b.ts <= c.cohort + INTERVAL '30' day GROUP BY 1 ), spend AS ( SELECT date_trunc('month', dt) AS m, sum(spend) AS spend FROM channel_spend GROUP BY 1 ) SELECT r.cohort, r.rev, s.spend, 1.0*r.rev/NULLIF(s.spend,0) AS roas FROM r JOIN spend s ON r.cohort=s.m",Cohort tie to spend month
,,Country mix,Share of revenue by country per week.,"SELECT date_trunc('week', b.ts) AS wk, u.country, sum(b.payout) AS rev, 1.0*sum(b.payout)/sum(sum(b.payout)) OVER (PARTITION BY date_trunc('week', b.ts)) AS share FROM bookings b JOIN users u ON b.user_id=u.user_id GROUP BY 1,2",Share via window
,,Email lift,Open→book conversion within 3 days.,"WITH got_email AS ( SELECT user_id, sent_ts FROM emails ), outcome AS ( SELECT g.user_id, max(CASE WHEN b.ts BETWEEN g.sent_ts AND g.sent_ts+INTERVAL '3' day THEN 1 END) AS booked FROM got_email g LEFT JOIN bookings b ON b.user_id=g.user_id GROUP BY 1 ) SELECT avg(booked) AS conv_rate FROM outcome",Post-exposure window
