MACHINE LEARNING & AI - COMPREHENSIVE TAXONOMY

Level 1	Level 2	Level 3	Level 4	Level 5	Level 6
Machine Learning Fundamentals	Model Evaluation	Performance Metrics	Classification Metrics	Accuracy Measures	Precision
Machine Learning Fundamentals	Model Evaluation	Performance Metrics	Classification Metrics	Accuracy Measures	Recall
Machine Learning Fundamentals	Model Evaluation	Performance Metrics	Classification Metrics	Accuracy Measures	F1 Score
Machine Learning Fundamentals	Model Evaluation	Performance Metrics	Classification Metrics	Visual Metrics	Confusion Matrix
Machine Learning Fundamentals	Model Evaluation	Performance Metrics	Classification Metrics	Visual Metrics	ROC Curve
Machine Learning Fundamentals	Model Evaluation	Performance Metrics	Classification Metrics	Visual Metrics	AUC Score
Machine Learning Fundamentals	Model Evaluation	Performance Metrics	Regression Metrics	Error Metrics	Mean Squared Error (MSE)
Machine Learning Fundamentals	Model Evaluation	Performance Metrics	Regression Metrics	Error Metrics	Root Mean Squared Error (RMSE)
Machine Learning Fundamentals	Model Evaluation	Performance Metrics	Regression Metrics	Error Metrics	Mean Absolute Error (MAE)
Machine Learning Fundamentals	Model Evaluation	Performance Metrics	Regression Metrics	Correlation Metrics	R-Squared
Machine Learning Fundamentals	Model Evaluation	Validation Techniques	Cross-Validation	CV Methods	K-Fold Cross-Validation
Machine Learning Fundamentals	Model Evaluation	Validation Techniques	Cross-Validation	CV Methods	Stratified K-Fold
Machine Learning Fundamentals	Model Evaluation	Validation Techniques	Cross-Validation	CV Methods	Leave-One-Out CV
Machine Learning Fundamentals	Model Evaluation	Validation Techniques	Data Splitting	Split Strategies	Train-Test Split
Machine Learning Fundamentals	Model Evaluation	Validation Techniques	Data Splitting	Split Strategies	Train-Validation-Test Split
Machine Learning Fundamentals	Model Optimization	Hyperparameter Tuning	Tuning Methods	Search Strategies	Grid Search
Machine Learning Fundamentals	Model Optimization	Hyperparameter Tuning	Tuning Methods	Search Strategies	Random Search
Machine Learning Fundamentals	Model Optimization	Hyperparameter Tuning	Tuning Methods	Search Strategies	Bayesian Optimization
Machine Learning Fundamentals	Model Optimization	Regularization	Regularization Techniques	Penalty Methods	L1 Regularization
Machine Learning Fundamentals	Model Optimization	Regularization	Regularization Techniques	Penalty Methods	L2 Regularization
Machine Learning Fundamentals	Model Optimization	Regularization	Regularization Techniques	Penalty Methods	Dropout
Machine Learning Fundamentals	Model Optimization	Model Issues	Overfitting	Prevention Techniques	Early Stopping
Machine Learning Fundamentals	Model Optimization	Model Issues	Overfitting	Prevention Techniques	Data Augmentation
Machine Learning Fundamentals	Model Optimization	Model Issues	Underfitting	Solutions	Feature Engineering
Machine Learning Fundamentals	Model Optimization	Model Issues	Bias-Variance Tradeoff	Balance Concepts	Bias Reduction
Machine Learning Fundamentals	Model Optimization	Model Issues	Bias-Variance Tradeoff	Balance Concepts	Variance Reduction
Deep Learning	Neural Network Fundamentals	Network Architectures	Feedforward Networks	Basic Networks	Multilayer Perceptron (MLP)
Deep Learning	Neural Network Fundamentals	Network Architectures	Feedforward Networks	Basic Networks	Deep Neural Networks (DNN)
Deep Learning	Neural Network Fundamentals	Network Architectures	Feedforward Networks	Activation Functions	ReLU
Deep Learning	Neural Network Fundamentals	Network Architectures	Feedforward Networks	Activation Functions	Sigmoid
Deep Learning	Neural Network Fundamentals	Network Architectures	Feedforward Networks	Activation Functions	Tanh
Deep Learning	Neural Network Fundamentals	Network Architectures	Feedforward Networks	Activation Functions	Leaky ReLU
Deep Learning	Neural Network Fundamentals	Network Architectures	Feedforward Networks	Activation Functions	Softmax
Deep Learning	Neural Network Fundamentals	Training Methods	Optimization	Optimizers	Stochastic Gradient Descent (SGD)
Deep Learning	Neural Network Fundamentals	Training Methods	Optimization	Optimizers	Adam
Deep Learning	Neural Network Fundamentals	Training Methods	Optimization	Optimizers	RMSprop
Deep Learning	Neural Network Fundamentals	Training Methods	Optimization	Optimizers	AdaGrad
Deep Learning	Neural Network Fundamentals	Training Methods	Loss Functions	Classification Loss	Cross-Entropy Loss
Deep Learning	Neural Network Fundamentals	Training Methods	Loss Functions	Classification Loss	Binary Cross-Entropy
Deep Learning	Neural Network Fundamentals	Training Methods	Loss Functions	Regression Loss	Mean Squared Error Loss
Deep Learning	Neural Network Fundamentals	Training Methods	Backpropagation	Gradient Computation	Forward Pass
Deep Learning	Neural Network Fundamentals	Training Methods	Backpropagation	Gradient Computation	Backward Pass
Deep Learning	Neural Network Fundamentals	Training Methods	Gradient Issues	Gradient Problems	Vanishing Gradient
Deep Learning	Neural Network Fundamentals	Training Methods	Gradient Issues	Gradient Problems	Exploding Gradient
Deep Learning	Convolutional Neural Networks	CNN Architecture	Convolutional Layers	Layer Types	2D Convolution
Deep Learning	Convolutional Neural Networks	CNN Architecture	Convolutional Layers	Layer Types	3D Convolution
Deep Learning	Convolutional Neural Networks	CNN Architecture	Pooling Layers	Pooling Methods	Max Pooling
Deep Learning	Convolutional Neural Networks	CNN Architecture	Pooling Layers	Pooling Methods	Average Pooling
Deep Learning	Convolutional Neural Networks	CNN Architecture	Pooling Layers	Pooling Methods	Global Average Pooling
Deep Learning	Convolutional Neural Networks	CNN Architecture	Advanced Layers	Modern Components	Batch Normalization
Deep Learning	Convolutional Neural Networks	CNN Architecture	Advanced Layers	Modern Components	Layer Normalization
Deep Learning	Convolutional Neural Networks	CNN Models	Classic Architectures	Foundational Models	LeNet
Deep Learning	Convolutional Neural Networks	CNN Models	Classic Architectures	Foundational Models	AlexNet
Deep Learning	Convolutional Neural Networks	CNN Models	Classic Architectures	Foundational Models	VGGNet
Deep Learning	Convolutional Neural Networks	CNN Models	Modern Architectures	Advanced Models	ResNet
Deep Learning	Convolutional Neural Networks	CNN Models	Modern Architectures	Advanced Models	Inception (GoogLeNet)
Deep Learning	Convolutional Neural Networks	CNN Models	Modern Architectures	Advanced Models	DenseNet
Deep Learning	Convolutional Neural Networks	CNN Models	Modern Architectures	Advanced Models	EfficientNet
Deep Learning	Convolutional Neural Networks	CNN Models	Modern Architectures	Advanced Models	MobileNet
Deep Learning	Convolutional Neural Networks	CNN Applications	Image Tasks	Recognition Tasks	Image Classification
Deep Learning	Convolutional Neural Networks	CNN Applications	Image Tasks	Recognition Tasks	Object Recognition
Deep Learning	Convolutional Neural Networks	CNN Applications	Image Tasks	Detection Tasks	Object Detection
Deep Learning	Convolutional Neural Networks	CNN Applications	Image Tasks	Detection Tasks	Face Detection
Deep Learning	Recurrent Neural Networks	RNN Architecture	Basic RNNs	RNN Types	Vanilla RNN
Deep Learning	Recurrent Neural Networks	RNN Architecture	Basic RNNs	RNN Components	Hidden State
Deep Learning	Recurrent Neural Networks	RNN Architecture	Basic RNNs	RNN Components	Sequence Processing
Deep Learning	Recurrent Neural Networks	RNN Variants	LSTM Networks	LSTM Components	Input Gate
Deep Learning	Recurrent Neural Networks	RNN Variants	LSTM Networks	LSTM Components	Forget Gate
Deep Learning	Recurrent Neural Networks	RNN Variants	LSTM Networks	LSTM Components	Output Gate
Deep Learning	Recurrent Neural Networks	RNN Variants	LSTM Networks	LSTM Components	Cell State
Deep Learning	Recurrent Neural Networks	RNN Variants	GRU Networks	GRU Components	Update Gate
Deep Learning	Recurrent Neural Networks	RNN Variants	GRU Networks	GRU Components	Reset Gate
Deep Learning	Recurrent Neural Networks	RNN Variants	Bidirectional RNN	Bidirectional Types	Bidirectional LSTM
Deep Learning	Recurrent Neural Networks	RNN Variants	Bidirectional RNN	Bidirectional Types	Bidirectional GRU
Deep Learning	Recurrent Neural Networks	RNN Applications	Sequential Tasks	Text Tasks	Text Generation
Deep Learning	Recurrent Neural Networks	RNN Applications	Sequential Tasks	Text Tasks	Language Modeling
Deep Learning	Recurrent Neural Networks	RNN Applications	Sequential Tasks	Time Series	Time Series Prediction
Deep Learning	Recurrent Neural Networks	RNN Applications	Sequential Tasks	Time Series	Stock Price Forecasting
Deep Learning	Recurrent Neural Networks	RNN Applications	Sequential Tasks	Speech	Speech Recognition
Deep Learning	Transformer Architecture	Transformer Components	Attention Mechanism	Attention Types	Self-Attention
Deep Learning	Transformer Architecture	Transformer Components	Attention Mechanism	Attention Types	Multi-Head Attention
Deep Learning	Transformer Architecture	Transformer Components	Attention Mechanism	Attention Types	Scaled Dot-Product Attention
Deep Learning	Transformer Architecture	Transformer Components	Positional Encoding	Position Information	Sinusoidal Encoding
Deep Learning	Transformer Architecture	Transformer Components	Positional Encoding	Position Information	Learned Positional Embeddings
Deep Learning	Transformer Architecture	Encoder-Decoder	Transformer Structure	Encoder Stack	Encoder Layers
Deep Learning	Transformer Architecture	Encoder-Decoder	Transformer Structure	Decoder Stack	Decoder Layers
Deep Learning	Transformer Architecture	Encoder-Decoder	Transformer Structure	Decoder Stack	Masked Self-Attention
Deep Learning	Transformer Architecture	Vision Transformers	ViT Models	Image Transformers	Vision Transformer (ViT)
Deep Learning	Transformer Architecture	Vision Transformers	ViT Models	Image Transformers	Swin Transformer
Deep Learning	Transformer Architecture	Vision Transformers	ViT Models	Applications	Image Classification with ViT
Deep Learning	Generative Models	Generative Adversarial Networks	GAN Architecture	GAN Components	Generator Network
Deep Learning	Generative Models	Generative Adversarial Networks	GAN Architecture	GAN Components	Discriminator Network
Deep Learning	Generative Models	Generative Adversarial Networks	GAN Variants	Advanced GANs	DCGAN
Deep Learning	Generative Models	Generative Adversarial Networks	GAN Variants	Advanced GANs	StyleGAN
Deep Learning	Generative Models	Generative Adversarial Networks	GAN Variants	Advanced GANs	CycleGAN
Deep Learning	Generative Models	Generative Adversarial Networks	GAN Variants	Advanced GANs	Pix2Pix
Deep Learning	Generative Models	Generative Adversarial Networks	GAN Applications	Image Generation	Synthetic Image Creation
Deep Learning	Generative Models	Generative Adversarial Networks	GAN Applications	Image Generation	Image-to-Image Translation
Deep Learning	Generative Models	Variational Autoencoders	VAE Architecture	VAE Components	Encoder
Deep Learning	Generative Models	Variational Autoencoders	VAE Architecture	VAE Components	Decoder
Deep Learning	Generative Models	Variational Autoencoders	VAE Architecture	VAE Components	Latent Space
Deep Learning	Generative Models	Variational Autoencoders	VAE Applications	Representation Learning	Feature Learning
Deep Learning	Generative Models	Variational Autoencoders	VAE Applications	Representation Learning	Data Compression
Deep Learning	Generative Models	Diffusion Models	Diffusion Types	Model Variants	Denoising Diffusion
Deep Learning	Generative Models	Diffusion Models	Diffusion Types	Model Variants	Stable Diffusion
Deep Learning	Generative Models	Diffusion Models	Diffusion Applications	Content Creation	Text-to-Image Generation
Deep Learning	Generative Models	Autoencoder Variants	Autoencoder Types	AE Architectures	Standard Autoencoder
Deep Learning	Generative Models	Autoencoder Variants	Autoencoder Types	AE Architectures	Denoising Autoencoder
Deep Learning	Generative Models	Autoencoder Variants	Autoencoder Types	AE Architectures	Sparse Autoencoder
Deep Learning	Graph Neural Networks	GNN Types	GNN Architectures	Graph Networks	Graph Convolutional Network (GCN)
Deep Learning	Graph Neural Networks	GNN Types	GNN Architectures	Graph Networks	Graph Attention Network (GAT)
Deep Learning	Graph Neural Networks	GNN Types	GNN Architectures	Graph Networks	GraphSAGE
Deep Learning	Graph Neural Networks	GNN Applications	Graph Tasks	Node Tasks	Node Classification
Deep Learning	Graph Neural Networks	GNN Applications	Graph Tasks	Edge Tasks	Link Prediction
Deep Learning	Graph Neural Networks	GNN Applications	Graph Tasks	Graph Tasks	Graph Classification
Natural Language Processing	NLP Fundamentals	Text Preprocessing	Tokenization	Token Types	Word Tokenization
Natural Language Processing	NLP Fundamentals	Text Preprocessing	Tokenization	Token Types	Sentence Tokenization
Natural Language Processing	NLP Fundamentals	Text Preprocessing	Tokenization	Token Types	Subword Tokenization
Natural Language Processing	NLP Fundamentals	Text Preprocessing	Tokenization	Modern Tokenizers	BPE (Byte Pair Encoding)
Natural Language Processing	NLP Fundamentals	Text Preprocessing	Tokenization	Modern Tokenizers	WordPiece
Natural Language Processing	NLP Fundamentals	Text Preprocessing	Tokenization	Modern Tokenizers	SentencePiece
Natural Language Processing	NLP Fundamentals	Text Preprocessing	Text Normalization	Normalization Steps	Lowercasing
Natural Language Processing	NLP Fundamentals	Text Preprocessing	Text Normalization	Normalization Steps	Stemming
Natural Language Processing	NLP Fundamentals	Text Preprocessing	Text Normalization	Normalization Steps	Lemmatization
Natural Language Processing	NLP Fundamentals	Text Preprocessing	Text Normalization	Normalization Steps	Stop Word Removal
Natural Language Processing	NLP Fundamentals	Text Representation	Word Embeddings	Static Embeddings	Word2Vec
Natural Language Processing	NLP Fundamentals	Text Representation	Word Embeddings	Static Embeddings	GloVe
Natural Language Processing	NLP Fundamentals	Text Representation	Word Embeddings	Static Embeddings	FastText
Natural Language Processing	NLP Fundamentals	Text Representation	Contextual Embeddings	Dynamic Embeddings	ELMo
Natural Language Processing	NLP Fundamentals	Text Representation	Traditional Methods	Bag-of-Words	TF-IDF
Natural Language Processing	NLP Fundamentals	Text Representation	Traditional Methods	Bag-of-Words	Count Vectorization
Natural Language Processing	NLP Fundamentals	Linguistic Analysis	Syntax Analysis	Syntactic Parsing	Part-of-Speech (POS) Tagging
Natural Language Processing	NLP Fundamentals	Linguistic Analysis	Syntax Analysis	Syntactic Parsing	Dependency Parsing
Natural Language Processing	NLP Fundamentals	Linguistic Analysis	Syntax Analysis	Syntactic Parsing	Constituency Parsing
Natural Language Processing	NLP Fundamentals	Linguistic Analysis	Named Entity Recognition	NER Types	Person Recognition
Natural Language Processing	NLP Fundamentals	Linguistic Analysis	Named Entity Recognition	NER Types	Location Recognition
Natural Language Processing	NLP Fundamentals	Linguistic Analysis	Named Entity Recognition	NER Types	Organization Recognition
Natural Language Processing	Transformer Language Models	BERT Family	BERT Models	BERT Variants	BERT-Base
Natural Language Processing	Transformer Language Models	BERT Family	BERT Models	BERT Variants	BERT-Large
Natural Language Processing	Transformer Language Models	BERT Family	BERT Models	BERT Training	Masked Language Modeling
Natural Language Processing	Transformer Language Models	BERT Family	BERT Models	BERT Training	Next Sentence Prediction
Natural Language Processing	Transformer Language Models	BERT Family	BERT Derivatives	Improved Models	RoBERTa
Natural Language Processing	Transformer Language Models	BERT Family	BERT Derivatives	Improved Models	ALBERT
Natural Language Processing	Transformer Language Models	BERT Family	BERT Derivatives	Improved Models	DistilBERT
Natural Language Processing	Transformer Language Models	BERT Family	BERT Derivatives	Improved Models	ELECTRA
Natural Language Processing	Transformer Language Models	GPT Family	GPT Models	GPT Versions	GPT-1
Natural Language Processing	Transformer Language Models	GPT Family	GPT Models	GPT Versions	GPT-2
Natural Language Processing	Transformer Language Models	GPT Family	GPT Models	GPT Versions	GPT-3
Natural Language Processing	Transformer Language Models	GPT Family	GPT Models	GPT Versions	GPT-4
Natural Language Processing	Transformer Language Models	GPT Family	GPT Training	Training Method	Autoregressive Language Modeling
Natural Language Processing	Transformer Language Models	GPT Family	GPT Training	Training Method	Causal Language Modeling
Natural Language Processing	Transformer Language Models	Other Transformer Models	T5 Family	Text-to-Text Models	T5 (Text-to-Text Transfer Transformer)
Natural Language Processing	Transformer Language Models	Other Transformer Models	T5 Family	Text-to-Text Models	T5 Variants
Natural Language Processing	Transformer Language Models	Other Transformer Models	XLNet	Permutation Models	XLNet Architecture
Natural Language Processing	Transformer Language Models	Other Transformer Models	Other Models	Additional Models	Llama
Natural Language Processing	Transformer Language Models	Other Transformer Models	Other Models	Additional Models	Claude
Natural Language Processing	Transformer Language Models	Other Transformer Models	Other Models	Additional Models	Gemini
Natural Language Processing	NLP Tasks	Text Classification	Classification Types	Sentiment Analysis	Binary Sentiment
Natural Language Processing	NLP Tasks	Text Classification	Classification Types	Sentiment Analysis	Multi-class Sentiment
Natural Language Processing	NLP Tasks	Text Classification	Classification Types	Topic Classification	Document Classification
Natural Language Processing	NLP Tasks	Text Classification	Classification Types	Intent Classification	Chatbot Intent Detection
Natural Language Processing	NLP Tasks	Text Classification	Classification Types	Spam Detection	Email Spam Filtering
Natural Language Processing	NLP Tasks	Sequence-to-Sequence	Machine Translation	Translation Types	Neural Machine Translation
Natural Language Processing	NLP Tasks	Sequence-to-Sequence	Machine Translation	Translation Types	Multilingual Translation
Natural Language Processing	NLP Tasks	Sequence-to-Sequence	Text Summarization	Summarization Types	Extractive Summarization
Natural Language Processing	NLP Tasks	Sequence-to-Sequence	Text Summarization	Summarization Types	Abstractive Summarization
Natural Language Processing	NLP Tasks	Question Answering	QA Systems	QA Types	Extractive QA
Natural Language Processing	NLP Tasks	Question Answering	QA Systems	QA Types	Open-Domain QA
Natural Language Processing	NLP Tasks	Question Answering	QA Systems	QA Types	Closed-Domain QA
Natural Language Processing	NLP Tasks	Text Generation	Generation Tasks	Creative Writing	Story Generation
Natural Language Processing	NLP Tasks	Text Generation	Generation Tasks	Code Generation	Code Synthesis
Natural Language Processing	NLP Tasks	Text Generation	Generation Tasks	Dialogue	Conversational AI
Natural Language Processing	NLP Tasks	Text Generation	Generation Tasks	Dialogue	Chatbots
Natural Language Processing	NLP Tasks	Information Extraction	Extraction Types	Relation Extraction	Entity Relationship Extraction
Natural Language Processing	NLP Tasks	Information Extraction	Extraction Types	Event Extraction	Event Detection
Natural Language Processing	Advanced NLP	Prompt Engineering	Prompting Techniques	Basic Prompting	Zero-Shot Learning
Natural Language Processing	Advanced NLP	Prompt Engineering	Prompting Techniques	Basic Prompting	Few-Shot Learning
Natural Language Processing	Advanced NLP	Prompt Engineering	Prompting Techniques	Basic Prompting	One-Shot Learning
Natural Language Processing	Advanced NLP	Prompt Engineering	Prompting Techniques	Advanced Prompting	Chain-of-Thought Prompting
Natural Language Processing	Advanced NLP	Prompt Engineering	Prompting Techniques	Advanced Prompting	Self-Consistency
Natural Language Processing	Advanced NLP	Fine-Tuning	Fine-Tuning Methods	Training Approaches	Full Fine-Tuning
Natural Language Processing	Advanced NLP	Fine-Tuning	Fine-Tuning Methods	Training Approaches	Parameter-Efficient Fine-Tuning (PEFT)
Natural Language Processing	Advanced NLP	Fine-Tuning	Fine-Tuning Methods	Training Approaches	LoRA (Low-Rank Adaptation)
Natural Language Processing	Advanced NLP	Fine-Tuning	Fine-Tuning Methods	Training Approaches	Adapter Layers
Natural Language Processing	Advanced NLP	Retrieval-Augmented Generation	RAG Components	RAG Architecture	Retriever
Natural Language Processing	Advanced NLP	Retrieval-Augmented Generation	RAG Components	RAG Architecture	Generator
Natural Language Processing	Advanced NLP	Retrieval-Augmented Generation	RAG Components	RAG Architecture	Knowledge Base
Computer Vision	CV Fundamentals	Image Processing	Image Operations	Basic Operations	Image Resizing
Computer Vision	CV Fundamentals	Image Processing	Image Operations	Basic Operations	Image Cropping
Computer Vision	CV Fundamentals	Image Processing	Image Operations	Basic Operations	Image Rotation
Computer Vision	CV Fundamentals	Image Processing	Image Operations	Enhancement	Brightness Adjustment
Computer Vision	CV Fundamentals	Image Processing	Image Operations	Enhancement	Contrast Enhancement
Computer Vision	CV Fundamentals	Image Processing	Image Operations	Enhancement	Noise Reduction
Computer Vision	CV Fundamentals	Image Processing	Image Filtering	Filter Types	Gaussian Filter
Computer Vision	CV Fundamentals	Image Processing	Image Filtering	Filter Types	Median Filter
Computer Vision	CV Fundamentals	Image Processing	Image Filtering	Filter Types	Sobel Filter
Computer Vision	CV Fundamentals	Feature Extraction	Traditional Features	Feature Detectors	SIFT (Scale-Invariant Feature Transform)
Computer Vision	CV Fundamentals	Feature Extraction	Traditional Features	Feature Detectors	SURF
Computer Vision	CV Fundamentals	Feature Extraction	Traditional Features	Feature Detectors	HOG (Histogram of Oriented Gradients)
Computer Vision	CV Fundamentals	Feature Extraction	Traditional Features	Feature Detectors	ORB
Computer Vision	CV Fundamentals	Feature Extraction	Deep Features	CNN Features	Feature Maps
Computer Vision	CV Fundamentals	Feature Extraction	Deep Features	CNN Features	Learned Representations
Computer Vision	Object Detection	Detection Architectures	Two-Stage Detectors	Region-Based Methods	R-CNN
Computer Vision	Object Detection	Detection Architectures	Two-Stage Detectors	Region-Based Methods	Fast R-CNN
Computer Vision	Object Detection	Detection Architectures	Two-Stage Detectors	Region-Based Methods	Faster R-CNN
Computer Vision	Object Detection	Detection Architectures	Two-Stage Detectors	Region-Based Methods	Mask R-CNN
Computer Vision	Object Detection	Detection Architectures	Single-Stage Detectors	YOLO Family	YOLO (You Only Look Once)
Computer Vision	Object Detection	Detection Architectures	Single-Stage Detectors	YOLO Family	YOLOv2
Computer Vision	Object Detection	Detection Architectures	Single-Stage Detectors	YOLO Family	YOLOv3
Computer Vision	Object Detection	Detection Architectures	Single-Stage Detectors	YOLO Family	YOLOv4
Computer Vision	Object Detection	Detection Architectures	Single-Stage Detectors	YOLO Family	YOLOv5
Computer Vision	Object Detection	Detection Architectures	Single-Stage Detectors	YOLO Family	YOLOv7
Computer Vision	Object Detection	Detection Architectures	Single-Stage Detectors	YOLO Family	YOLOv8
Computer Vision	Object Detection	Detection Architectures	Single-Stage Detectors	YOLO Family	YOLOv9
Computer Vision	Object Detection	Detection Architectures	Single-Stage Detectors	YOLO Family	YOLOv10
Computer Vision	Object Detection	Detection Architectures	Single-Stage Detectors	YOLO Family	YOLO11
Computer Vision	Object Detection	Detection Architectures	Single-Stage Detectors	SSD Family	SSD (Single Shot Detector)
Computer Vision	Object Detection	Detection Architectures	Single-Stage Detectors	Other Detectors	RetinaNet
Computer Vision	Object Detection	Detection Components	Detection Elements	Bounding Boxes	Box Coordinates
Computer Vision	Object Detection	Detection Components	Detection Elements	Bounding Boxes	Anchor Boxes
Computer Vision	Object Detection	Detection Components	Detection Elements	Bounding Boxes	Anchor-Free Detection
Computer Vision	Object Detection	Detection Components	Detection Metrics	Evaluation Metrics	Intersection over Union (IoU)
Computer Vision	Object Detection	Detection Components	Detection Metrics	Evaluation Metrics	Mean Average Precision (mAP)
Computer Vision	Object Detection	Detection Components	Detection Metrics	Evaluation Metrics	Non-Maximum Suppression (NMS)
Computer Vision	Image Segmentation	Segmentation Types	Semantic Segmentation	Pixel Classification	FCN (Fully Convolutional Network)
Computer Vision	Image Segmentation	Segmentation Types	Semantic Segmentation	Pixel Classification	U-Net
Computer Vision	Image Segmentation	Segmentation Types	Semantic Segmentation	Pixel Classification	DeepLab
Computer Vision	Image Segmentation	Segmentation Types	Instance Segmentation	Object Instances	Mask R-CNN
Computer Vision	Image Segmentation	Segmentation Types	Instance Segmentation	Object Instances	YOLACT
Computer Vision	Image Segmentation	Segmentation Types	Panoptic Segmentation	Combined Segmentation	Panoptic FPN
Computer Vision	Image Segmentation	Segmentation Models	Modern Segmentation	Advanced Models	Segment Anything Model (SAM)
Computer Vision	Image Segmentation	Segmentation Models	Modern Segmentation	Advanced Models	SAM 2
Computer Vision	Image Segmentation	Segmentation Metrics	Segmentation Evaluation	Metrics	Dice Coefficient
Computer Vision	Image Segmentation	Segmentation Metrics	Segmentation Evaluation	Metrics	IoU for Segmentation
Computer Vision	Face Recognition	Face Detection	Detection Methods	Face Detectors	Haar Cascades
Computer Vision	Face Recognition	Face Detection	Detection Methods	Face Detectors	MTCNN
Computer Vision	Face Recognition	Face Detection	Detection Methods	Face Detectors	RetinaFace
Computer Vision	Face Recognition	Face Identification	Recognition Methods	Face Recognition Systems	FaceNet
Computer Vision	Face Recognition	Face Identification	Recognition Methods	Face Recognition Systems	DeepFace
Computer Vision	Face Recognition	Face Identification	Recognition Methods	Face Recognition Systems	ArcFace
Computer Vision	Face Recognition	Face Analysis	Face Attributes	Attribute Detection	Age Estimation
Computer Vision	Face Recognition	Face Analysis	Face Attributes	Attribute Detection	Gender Recognition
Computer Vision	Face Recognition	Face Analysis	Face Attributes	Attribute Detection	Emotion Recognition
