,CAST,,"Convert a campaign success rate string (e.g., '0.15') to a double for use in calculations.",,"SELECT campaign_id, CAST(success_rate_str AS DOUBLE) FROM airbnb.marketing.campaigns;"
,DATE_TRUNC,,Aggregate daily metrics into weekly performance reports.,,"SELECT DATE_TRUNC('week', event_timestamp) AS booking_week, COUNT(booking_id) FROM airbnb.bookings.events GROUP BY 1;"
,SUBSTR / LENGTH,,Extract the first 4 characters of the listing ID for internal segmentation.,,"SELECT SUBSTR(listing_id, 1, 4) AS listing_prefix FROM airbnb.listings.properties;"
,,,,,
,,,,,
,Data Integration (Joins and Set Operations),,,,
,,,,,
,,,,,
,,,,,
,INNER JOIN,,Find the booking value only for users who clicked a campaign ad (requires both a click event and a booking).,,SELECT b.booking_value FROM airbnb.bookings.events AS b INNER JOIN airbnb.marketing.campaigns AS c ON b.user_id = c.user_id;
,LEFT JOIN (Enrichment),,"Get a list of all users and enrich it with their first booking ID, using NULL for non-bookers.",,"SELECT u.user_id, MIN(b.booking_id) AS first_booking FROM airbnb.users.guests AS u LEFT JOIN airbnb.bookings.events AS b ON u.user_id = b.user_id GROUP BY 1;"
,UNION ALL,,Combine two separate year-end campaign performance tables into a single report.,,SELECT * FROM airbnb.marketing.campaigns_2023 UNION ALL SELECT * FROM airbnb.marketing.campaigns_2024;
,Federated Join,,Join a user table in the Hive data lake with a financial table in the MySQL database.,,"SELECT h.booking_value, m.user_lifetime_value FROM hive.events.bookings AS h JOIN mysql.finance.ltv AS m ON h.user_id = m.user_id;"
,,,,,
,,,,,
,Advanced Analytical Logic (CTEs and Subqueries),,,,
,,,,,
,,,,,
,,,,,
,WITH (CTE),,"Calculate the total revenue per channel in Step 1, then use it in Step 2 to find each channel's share of total revenue.",,"sql WITH channel_rev AS ( SELECT channel, SUM(revenue) AS total_channel_rev FROM bookings GROUP BY 1 ) SELECT channel, total_channel_rev / SUM(total_channel_rev) OVER () AS revenue_share FROM channel_rev;"
,Scalar Subquery,,Filter only for bookings where the value is above the overall average booking value.,,WHERE booking_value > (SELECT AVG(booking_value) FROM airbnb.bookings.events)
,Non-Correlated Subquery,,Find all users who booked a property that has been reviewed by at least 10 different guests.,,WHERE listing_id IN (SELECT listing_id FROM airbnb.listings.properties GROUP BY 1 HAVING COUNT(review_id) >= 10)
,,,,,
,Window Functions (Sequencing and Ranking),,,,
,,,,,
,,,,,
,,,,,
,Function/Syntax,,Example Scenario (Airbnb Marketing),,Presto SQL Example
,PARTITION BY,,Calculate metrics separately for each marketing_channel.,,OVER (PARTITION BY marketing_channel ...)
,ROW_NUMBER(),,Identify the first event in a user's session (first touchpoint).,,ROW_NUMBER() OVER (PARTITION BY user_id ORDER BY event_timestamp ASC) AS event_rank
,RANK() / DENSE_RANK(),,Rank campaigns based on their Conversion Rate (allowing ties).,,DENSE_RANK() OVER (ORDER BY conversion_rate DESC) AS campaign_rank
,LAG(),,Determine the time elapsed between a user's current event and their previous event.,,event_timestamp - LAG(event_timestamp) OVER (PARTITION BY user_id ORDER BY event_timestamp)
,LEAD(),,"Find the next step in a conversion funnel (e.g., what happened after a click).",,LEAD(event_type) OVER (PARTITION BY user_id ORDER BY event_timestamp)
,Running Total (Cumulative),,Calculate the cumulative booking value earned over the month.,,sql SUM(booking_value) OVER ( ORDER BY booking_date ROWS BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW ) AS cumulative_gbv
,Moving Average,,Smooth out daily volatility by calculating the 7-day rolling average of daily booking counts.,,sql AVG(daily_bookings) OVER ( ORDER BY booking_date ROWS BETWEEN 6 PRECEDING AND CURRENT ROW ) AS avg_7_day_bookings
