,,,,,,
,,,,,,
,,,,,,
,"DERIVED SOURCE
(INPUT)",CATEGORY-2,CATEGORY-3,CATEGORY-4,CATEGORY-5,CATEGORY-6
,MARKETING,Digital Marketing,Social Media Marketing,Paid Social Advertising,Campaign Strategy,"Funnel-Based Objective Setting (Awareness, Consideration, Conversion)"
,MARKETING,Digital Marketing,Social Media Marketing,Paid Social Advertising,Campaign Strategy,Budgeting & Bidding Strategy
,MARKETING,Digital Marketing,Social Media Marketing,Paid Social Advertising,Audience Targeting,"Core Audience Targeting (Demographics, Interests, Behaviors)"
,MARKETING,Digital Marketing,Social Media Marketing,Paid Social Advertising,Audience Targeting,Custom & Lookalike Audience Creation
,MARKETING,Digital Marketing,Social Media Marketing,Paid Social Advertising,Ad Creative & Copy,"A/B Testing Ads (Creative, Copy, CTA)"
,MARKETING,Digital Marketing,Social Media Marketing,Paid Social Advertising,Ad Creative & Copy,"Ad Format Selection (Video, Carousel, Lead Gen Forms)"
,MARKETING,Digital Marketing,Social Media Marketing,Paid Social Advertising,Performance & Optimization,Pixel & Conversion API Tracking
,MARKETING,Digital Marketing,Social Media Marketing,Paid Social Advertising,Performance & Optimization,Return on Ad Spend (ROAS) Analysis
,MARKETING,Digital Marketing,Social Media Marketing,Analytics & Reporting,Performance Metrics,"Awareness Metrics (Reach, Impressions, SOV)"
,MARKETING,Digital Marketing,Social Media Marketing,Analytics & Reporting,Performance Metrics,"Engagement Metrics (Likes, Comments, Shares, Saves, Rate)"
,MARKETING,Digital Marketing,Social Media Marketing,Analytics & Reporting,Performance Metrics,"Website Metrics (Click-Through Rate, Traffic, Bounce Rate)"
,MARKETING,Digital Marketing,Social Media Marketing,Analytics & Reporting,Performance Metrics,"Conversion Metrics (Leads, MQLs, Sales)"
,MARKETING,Digital Marketing,Social Media Marketing,Reporting & Dashboards,Building Weekly & Monthly Reports,
,MARKETING,Digital Marketing,Social Media Marketing,Reporting & Dashboards,"Dashboarding Tools (Native Analytics, Looker Studio, etc.)",
,MARKETING,Digital Marketing,Social Media Marketing,Reporting & Dashboards,Communicating Insights & Recommendations,
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),,,
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),On-Page SEO,Keyword Research,Keyword Discovery & Analysis
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),On-Page SEO,Keyword Research,"Search Intent Analysis (Informational, Navigational, Transactional)"
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),On-Page SEO,Keyword Research,Competitor Keyword Gap Analysis
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),On-Page SEO,Keyword Research,Keyword Mapping to Funnel Stages
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),On-Page SEO,Keyword Research,Long-Tail Keyword Identification
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),On-Page SEO,Content Optimization,Title Tag & Meta Description Crafting
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),On-Page SEO,Content Optimization,"Header Tag Strategy (H1, H2, H3s)"
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),On-Page SEO,Content Optimization,Body Content & Readability Optimization
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),On-Page SEO,Content Optimization,"Image SEO (Alt Text, File Names, Compression)"
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),On-Page SEO,Content Optimization,Internal & External Linking Strategy
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),On-Page SEO,Topic Clusters & Pillar Pages,Pillar Page Creation
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),On-Page SEO,Topic Clusters & Pillar Pages,Cluster Content Development
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),On-Page SEO,Schema & Structured Data,"Rich Snippet Implementation (FAQ, How-To, Review)"
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),On-Page SEO,Schema & Structured Data,Knowledge Graph & Entity Optimization
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),Technical SEO,Crawlability & Indexability,XML Sitemap Management & Optimization
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),Technical SEO,Crawlability & Indexability,Robots.txt Configuration & Management
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),Technical SEO,Crawlability & Indexability,Crawl Budget Optimization
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),Technical SEO,Crawlability & Indexability,Log File Analysis
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),Technical SEO,Crawlability & Indexability,URL Structure & Canonicalization
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),Technical SEO,Site Architecture,Information Architecture Planning
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),Technical SEO,Site Architecture,Breadcrumb Navigation
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),Technical SEO,Page Experience & Core Web Vitals,Site Speed Optimization
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),Technical SEO,Page Experience & Core Web Vitals,Mobile Friendliness & Responsiveness
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),Technical SEO,Page Experience & Core Web Vitals,HTTPS & Site Security
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),Technical SEO,International SEO,Hreflang Tag Implementation
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),Off-Page SEO,Link Building (Backlink Acquisition),Digital PR & Media Outreach
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),Off-Page SEO,Link Building (Backlink Acquisition),Guest Blogging & Content Collaboration
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),Off-Page SEO,Link Building (Backlink Acquisition),Broken Link Building
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),Off-Page SEO,Link Building (Backlink Acquisition),Unlinked Brand Mention Reclamation
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),Off-Page SEO,Link Building (Backlink Acquisition),Resource & Linkable Asset Promotion
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),Off-Page SEO,Backlink Profile Management,Backlink Audit & Quality Analysis
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),Off-Page SEO,Backlink Profile Management,Link Disavow & Spam Control
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),Local SEO,Google Business Profile (GBP) Optimization,"NAP (Name, Address, Phone) Consistency"
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),Local SEO,Google Business Profile (GBP) Optimization,GBP Service & Product Listing
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),Local SEO,Google Business Profile (GBP) Optimization,GBP Posts & Q&A Management
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),Local SEO,Local Citation Building & Management,Directory & Listing Submissions
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),Local SEO,Online Reviews & Reputation,Review Generation Strategy
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),Local SEO,Online Reviews & Reputation,Responding to Customer Reviews
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),Local SEO,Local-Specific Keyword Targeting,Near Me & Geo-Targeted Searches
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),SEO Strategy & Analytics,SEO Audits,Technical SEO Audit
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),SEO Strategy & Analytics,SEO Audits,Content & On-Page Audit
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),SEO Strategy & Analytics,SEO Audits,Backlink Profile Audit
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),SEO Strategy & Analytics,Performance Measurement,Rank Tracking & Search Visibility
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),SEO Strategy & Analytics,Performance Measurement,Organic Traffic & User Behavior Analysis
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),SEO Strategy & Analytics,Performance Measurement,Conversion & Goal Tracking from Organic Search
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),SEO Strategy & Analytics,Reporting,"Dashboard Creation (Google Looker Studio, etc.)"
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),SEO Strategy & Analytics,Reporting,Competitive Landscape Reporting
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),SEO Strategy & Analytics,Tooling,Google Search Console & Google Analytics
,MARKETING,Digital Marketing,Search E_ngine Optimization (SEO),SEO Strategy & Analytics,Tooling,"SEO Platforms (e.g., Ahrefs, SEMrush, Moz)"
,MARKETING,Digital Marketing,Search Engine Optimization (SEO),SEO Strategy & Analytics,Tooling,"Technical Crawlers (e.g., Screaming Frog)"
,MARKETING,Digital Marketing,Content Marketing,Content Strategy & Planning,Audience & Persona Research,Identifying Customer Pain Points & Questions
,MARKETING,Digital Marketing,Content Marketing,Content Strategy & Planning,Audience & Persona Research,Customer Journey Mapping
,MARKETING,Digital Marketing,Content Marketing,Content Strategy & Planning,Messaging & Positioning,Developing Core Content Pillars & Themes
,MARKETING,Digital Marketing,Content Marketing,Content Strategy &Planning,Messaging & Positioning,"Defining Brand Voice, Tone & Style Guide"
,MARKETING,Digital Marketing,Content Marketing,Content Strategy & Planning,Competitive & Keyword Analysis,Content Gap Analysis vs. Competitors
,MARKETING,Digital Marketing,Content Marketing,Content Strategy & Planning,Competitive & Keyword Analysis,Building Topic Clusters & Pillar Page Strategy
,MARKETING,Digital Marketing,Content Marketing,Content Strategy & Planning,Editorial Calendar Management,Content Cadence & Velocity Planning
,MARKETING,Digital Marketing,Content Marketing,Content Strategy & Planning,Editorial Calendar Management,Workflow & Approval Processes
,MARKETING,Digital Marketing,Content Marketing,Content Strategy & Planning,Editorial Calendar Management,"Using Content Management Tools (Asana, Trello, etc.)"
,MARKETING,Digital Marketing,Content Marketing,Content Creation & Production,Written Content,Blog Posts & Articles
,MARKETING,Digital Marketing,Content Marketing,Content Creation & Production,Written Content,"Ebooks, Whitepapers & Guides"
,MARKETING,Digital Marketing,Content Marketing,Content Creation & Production,Written Content,Case Studies & Customer Success Stories
,MARKETING,Digital Marketing,Content Marketing,Content Creation & Production,Written Content,Website & Landing Page Copywriting
,MARKETING,Digital Marketing,Content Marketing,Content Creation & Production,Written Content,Email & Newsletter Copywriting
,MARKETING,Digital Marketing,Content Marketing,Content Creation & Production,Video Content,"Short-Form Social Video (Reels, TikToks, Shorts)"
,MARKETING,Digital Marketing,Content Marketing,Content Creation & Production,Video Content,Long-Form Explainer & Educational Videos
,MARKETING,Digital Marketing,Content Marketing,Content Creation & Production,Video Content,Webinars & Virtual Events
,MARKETING,Digital Marketing,Content Marketing,Content Creation & Production,Video Content,Product Demos & Tutorial Videos
,MARKETING,Digital Marketing,Content Marketing,Content Creation & Production,Audio Content,Podcast Planning & Production
,MARKETING,Digital Marketing,Content Marketing,Content Creation & Production,Visual Content,Infographics & Data Visualizations
,MARKETING,Digital Marketing,Content Marketing,Content Creation & Production,Visual Content,Social Media Graphics & Quote Cards
,MARKETING,Digital Marketing,Content Marketing,Content Creation & Production,Content Optimization for SEO,Creating & Using SEO Content Briefs
,MARKETING,Digital Marketing,Content Marketing,Content Creation & Production,Content Optimization for SEO,"On-Page SEO (Headlines, Meta, Internal Links)"
,MARKETING,Digital Marketing,Content Marketing,Content Distribution & Promotion,Owned Channels,Website & Blog Publishing
,MARKETING,Digital Marketing,Content Marketing,Content Distribution & Promotion,Owned Channels,Email Marketing & Newsletter Distribution
,MARKETING,Digital Marketing,Content Marketing,Content Distribution & Promotion,Owned Channels,Social Media Promotion
,MARKETING,Digital Marketing,Content Marketing,Content Distribution & Promotion,Paid Channels (Amplification),Paid Social Media Boosting & Ads
,MARKETING,Digital Marketing,Content Marketing,Content Distribution & Promotion,Paid Channels (Amplification),"Content Discovery Networks (e.g., Taboola, Outbrain)"
,MARKETING,Digital Marketing,Content Marketing,Content Distribution & Promotion,Paid Channels (Amplification),Search Engine Marketing (SEM) for Gated Content
,MARKETING,Digital Marketing,Content Marketing,Content Distribution & Promotion,Earned Channels,Digital PR & Media Outreach
,MARKETING,Digital Marketing,Content Marketing,Content Distribution & Promotion,Earned Channels,Guest Blogging Strategy
,MARKETING,Digital Marketing,Content Marketing,Content Distribution & Promotion,Earned Channels,"Community Engagement (Forums, Groups)"
,MARKETING,Digital Marketing,Content Marketing,Content Operations & Management,Content Management System (CMS),"Platform Management (e.g., WordPress, HubSpot)"
,MARKETING,Digital Marketing,Content Marketing,Content Operations & Management,Content Management System (CMS),Content Taxonomy & Tagging Strategy
,MARKETING,Digital Marketing,Content Marketing,Content Operations & Management,Content Repurposing & Refreshing,Atomizing Long-Form Content into Micro-Content
,MARKETING,Digital Marketing,Content Marketing,Content Operations & Management,Content Repurposing & Refreshing,Historical Content Update Cadence
,MARKETING,Digital Marketing,Content Marketing,Content Operations & Management,Team & Resource Management,Defining Roles & Responsibilities
,MARKETING,Digital Marketing,Content Marketing,Content Operations & Management,Team & Resource Management,Managing Freelancers & Agencies
,MARKETING,Digital Marketing,Content Marketing,Content Operations & Management,Team & Resource Management,Budget Planning & Tracking
,MARKETING,Digital Marketing,Content Marketing,Content Performance & Analytics,KPI Tracking,"Traffic & Consumption Metrics (Pageviews, Time on Page)"
,MARKETING,Digital Marketing,Content Marketing,Content Performance & Analytics,KPI Tracking,"Engagement Metrics (Social Shares, Comments, Backlinks)"
,MARKETING,Digital Marketing,Content Marketing,Content Performance & Analytics,KPI Tracking,"Conversion Metrics (Leads, Downloads, MQLs)"
,MARKETING,Digital Marketing,Content Marketing,Content Performance & Analytics,KPI Tracking,"Audience Growth (Subscribers, Followers)"
,MARKETING,Digital Marketing,Content Marketing,Content Performance & Analytics,Reporting & Insights,Building Content Marketing Dashboards
,MARKETING,Digital Marketing,Content Marketing,Content Performance & Analytics,Reporting & Insights,Content Audits & Performance Reviews
,MARKETING,Digital Marketing,Content Marketing,Content Performance & Analytics,Testing & Optimization,"A/B Testing (Headlines, CTAs, Formats)"
,MARKETING,Digital Marketing,Content Marketing,Content Performance & Analytics,ROI Measurement,"Attribution Modeling (First-touch, Multi-touch)"
,MARKETING,Digital Marketing,Content Marketing,Content Performance & Analytics,ROI Measurement,Calculating Content Marketing ROI
,MARKETING,Marketing Strategy & Planning,Research & Analysis,Market & Industry Analysis,Total Addressable Market (TAM) Sizing,
,MARKETING,Marketing Strategy & Planning,Research & Analysis,Market & Industry Analysis,Industry Trends & PEST Analysis,
,MARKETING,Marketing Strategy & Planning,Research & Analysis,Audience Research,Target Persona Development & Validation,
,MARKETING,Marketing Strategy & Planning,Research & Analysis,Audience Research,Customer Journey Mapping,
,MARKETING,Marketing Strategy & Planning,Research & Analysis,Audience Research,"Customer Interviews, Surveys & Feedback Analysis",
,MARKETING,Marketing Strategy & Planning,Research & Analysis,Competitive Landscape Analysis,Direct & Indirect Competitor Identification,
,MARKETING,Marketing Strategy & Planning,Research & Analysis,Competitive Landscape Analysis,"SWOT Analysis (Strengths, Weaknesses, Opportunities, Threats)",
,MARKETING,Marketing Strategy & Planning,Research & Analysis,Competitive Landscape Analysis,Competitor Digital Channel & Messaging Audit,
,MARKETING,Marketing Strategy & Planning,Research & Analysis,Internal Audit,Current Marketing Performance & Funnel Analysis,
,MARKETING,Marketing Strategy & Planning,Research & Analysis,Internal Audit,Brand & Product Positioning Review,
,MARKETING,Marketing Strategy & Planning,Core Strategy Development,Goal Setting & Objectives,"Defining Business Goals (e.g., Revenue, Market Share)",
,MARKETING,Marketing Strategy & Planning,Core Strategy Development,Goal Setting & Objectives,"Translating Goals to SMART Marketing Objectives (Specific, Measurable, etc.)",
,MARKETING,Marketing Strategy & Planning,Core Strategy Development,Goal Setting & Objectives,Establishing Key Performance Indicators (KPIs),
,MARKETING,Marketing Strategy & Planning,Core Strategy Development,Value Proposition & Messaging,Defining the Unique Selling Proposition (USP),
,MARKETING,Marketing Strategy & Planning,Core Strategy Development,Value Proposition & Messaging,Crafting the Core Brand Story & Messaging Framework,
,MARKETING,Marketing Strategy & Planning,Core Strategy Development,Go-to-Market (GTM) Strategy,New Product or Service Launch Plan,
,MARKETING,Marketing Strategy & Planning,Core Strategy Development,Go-to-Market (GTM) Strategy,Market Penetration or Expansion Plan,
,MARKETING,Marketing Strategy & Planning,Channel & Tactical Planning,Integrated Channel Strategy,"Defining the Role of Each Channel (SEO, PPC, Social, etc.)",
,MARKETING,Marketing Strategy & Planning,Channel & Tactical Planning,Integrated Channel Strategy,Mapping Channels to the Customer Journey,
,MARKETING,Marketing Strategy & Planning,Channel & Tactical Planning,Inbound Marketing Plan,Content Marketing & SEO Strategy,
,MARKETING,Marketing Strategy & Planning,Channel & Tactical Planning,Demand Generation Plan,Paid Media & Advertising Strategy,
,MARKETING,Marketing Strategy & Planning,Channel & Tactical Planning,Demand Generation Plan,Email Marketing & Nurture Strategy,
,MARKETING,Marketing Strategy & Planning,Channel & Tactical Planning,Account-Based Marketing (ABM) Plan,Target Account List (TAL) Selection & Tiering,
,MARKETING,Marketing Strategy & Planning,Channel & Tactical Planning,Account-Based Marketing (ABM) Plan,Personalized Campaign & Outreach Plays,
,MARKETING,Marketing Strategy & Planning,Budgeting & Resource Allocation,Marketing Budget Modeling,Top-Down vs. Bottom-Up Budgeting,
,MARKETING,Marketing Strategy & Planning,Budgeting & Resource Allocation,Marketing Budget Modeling,"Budget Allocation by Channel, Funnel, or Campaign",
,MARKETING,Marketing Strategy & Planning,Budgeting & Resource Allocation,Marketing Budget Modeling,Forecasting & ROI Projections,
,MARKETING,Marketing Strategy & Planning,Budgeting & Resource Allocation,Resource Planning,Team Structure & Headcount Planning,
,MARKETING,Marketing Strategy & Planning,Budgeting & Resource Allocation,Resource Planning,Skill Gap Analysis (In-house vs. Agency/Freelancer),
,MARKETING,Marketing- Strategy & Planning,Budgeting & Resource Allocation,Marketing Technology (MarTech) Stack,MarTech Audit & Gap Analysis,
,MARKETING,Marketing Strategy & Planning,Budgeting & Resource Allocation,Marketing Technology (MarTech) Stack,Tool Selection & Implementation Planning,
,MARKETING,Marketing Strategy & planning,Measurement & Operations,Performance Measurement Framework,"Defining a ""North Star"" Metric",
,MARKETING,Marketing Strategy & planning,Performance Measurement Framework,Marketing Attribution Modeling,"Model Selection (e.g., First Touch, Last Touch, Linear, U-Shaped)",
,MARKETING,Marketing Strategy & planning,Performance Measurement Framework,Reporting & Dashboarding Strategy,,
,MARKETING,Marketing Strategy & planning,Marketing Operations (MOps) Plan,Lead Management & Routing Process,,
,MARKETING,Marketing Strategy & planning,Marketing Operations (MOps) Plan,Sales & Marketing Alignment (SLA Definition),,
,MARKETING,Marketing Strategy & planning,Marketing Operations (MOps) Plan,Data Management & Hygiene Processes,,
,MARKETING,Marketing Strategy & planning,Execution Roadmap,Quarterly & Annual Marketing Calendar,,
,MARKETING,Marketing Strategy & planning,Execution Roadmap,A/B Testing & Optimization Plan,,
,MARKETING,Product Marketing,Market Intelligence,Competitive Intelligence,Competitor Identification & Tiering,
,MARKETING,Product Marketing,Market Intelligence,Competitive Intelligence,"Feature, Pricing & Packaging Analysis",
,MARKETING,Product Marketing,Market Intelligence,Competitive Intelligence,Messaging & Positioning Analysis,
,MARKETING,Product Marketing,Market Intelligence,Competitive Intelligence,Creation of Competitive Battlecards,
,MARKETING,Product Marketing,Market Intelligence,Audience & Buyer Intelligence,Ideal Customer Profile (ICP) Definition,
,MARKETING,Product Marketing,Market Intelligence,Audience & Buyer Intelligence,Buyer Persona Development & Validation,Customer Interviews & Surveys
,MARKETING,Product Marketing,Market Intelligence,Audience & Buyer Intelligence,Buyer Persona Development & Validation,CRM & Sales Data Analysis
,MARKETING,Product Marketing,Market Intelligence,Audience & Buyer Intelligence,Buyer Journey Mapping,
,MARKETING,Product Marketing,Market Intelligence,Market Research & Sizing,Total Addressable Market (TAM) Analysis,
,MARKETING,Product Marketing,Market Intelligence,Market Research & Sizing,"Analyst Relations Management (Gartner, Forrester, etc.)",
,MARKETING,Product Marketing,Positioning & Messaging,Core Product Positioning,Defining Target Market Segment & Category,
,MARKETING,Product Marketing,Positioning & Messaging,Core Product Positioning,Identifying & Validating Unique Differentiators,
,MARKETING,Product Marketing,Positioning & Messaging,Messaging Framework,Value Proposition Crafting,
,MARKETING,Product Marketing,Positioning & Messaging,Messaging Framework,Developing Messaging Pillars & Proof Points,
,MARKETING,Product Marketing,Positioning & Messaging,Messaging Framework,Creating the Elevator Pitch & Boilerplate,
,MARKETING,Product Marketing,Positioning & Messaging,Pricing & Packaging,Collaboration on Pricing Strategy & Tiers,
,MARKETING,Product Marketing,Positioning & Messaging,Pricing & Packaging,Naming & Feature Merchandising,
,MARKETING,Product Marketing,Go-to-Market (GTM) & Launch,GTM Strategy & Planning,"Setting Launch Goals & KPIs (Revenue, Adoption, etc.)",
,MARKETING,Product Marketing,Go-to-Market (GTM) & Launch,GTM Strategy & Planning,"Defining Launch Tiers (e.g., Major, Minor, Internal)",
,MARKETING,Product Marketing,Go-to-Market (GTM) & Launch,GTM Strategy & Planning,"Cross-Functional Launch Team Alignment (Product, Sales, CS, Marketing)",
,MARKETING,Product Marketing,Go-to-Market (GTM) & Launch,Launch Plan Execution,Internal Readiness & Training,
,MARKETING,Product Marketing,Go-to-Market (GTM) & Launch,Launch Plan Execution,External Launch Communications Plan,PR & Analyst Briefings
,MARKETING,Product Marketing,Go-to-Market (GTM) & Launch,Launch Plan Execution,External Launch Communications Plan,Website & App Store Updates
,MARKETING,Product Marketing,Go-to-Market (GTM) & Launch,Launch Plan Execution,External Launch Communications Plan,Launch Day Demand Generation Campaign
,MARKETING,Product Marketing,Sales & Partner Enablement,Sales Collateral Development,Sales Decks & Presentations,
,MARKETING,Product Marketing,Sales & Partner Enablement,Sales Collateral Development,Product Datasheets & One-Pagers,
,MARKETING,Product Marketing,Sales & Partner Enablement,Sales Collateral Development,Case Studies & Customer Success Stories,
,MARKETING,Product Marketing,Sales & Partner Enablement,Sales Collateral Development,Demo Scripts & Videos,
,MARKETING,Product Marketing,Sales & Partner Enablement,Sales Training,New Feature & Messaging Training,
,MARKETING,Product Marketing,Sales & Partner B enablement,Sales Training,Competitive Objection Handling,
,MARKETING,Product Marketing,Sales & Partner Enablement,Partner Enablement,Partner Training & Certification Programs,
,MARKETING,Product Marketing,Sales & Partner Enablement,Partner Enablement,Co-marketing Campaigns & Materials,
,MARKETING,Product Marketing,Post-Launch & Lifecycle Mktg.,Demand Generation Collaboration,Content Strategy for the Funnel,"Top-of-Funnel Awareness Content (Blogs, Infographics)"
,MARKETING,Product Marketing,Post-Launch & Lifecycle Mktg.,Demand Generation Collaboration,Content Strategy for the Funnel,"Mid-Funnel Consideration Content (Webinars, Guides)"
,MARKETING,Product Marketing,Post-Launch & Lifecycle Mktg.,Demand Generation Collaboration,Content Strategy for the Funnel,"Bottom-of-Funnel Decision Content (Case Studies, Demos)"
,MARKETING,Product Marketing,Post-Launch & Lifecycle Mktg.,Demand Generation Collaboration,Campaign Messaging & Briefs for Demand Gen Teams,
,MARKETING,Product Marketing,Post-Launch & Lifecycle Mktg.,Customer Onboarding & Adoption,Onboarding Email Sequence Development,
,MARKETING,Product Marketing,Post-Launch & Lifecycle Mktg.,Customer Onboarding & Adoption,In-App Messaging & Walkthrough Strategy (with Product Team),
,MARKETING,Product Marketing,Post-Launch & Lifecycle Mktg.,Customer Advocacy & Retention,Voice of Customer (VoC) Program Management,"NPS, CSAT & In-App Surveys"
,MARKETING,Product Marketing,Post-Launch & Lifecycle Mktg.,Customer Advocacy & Retention,Voice of Customer (VoC) Program Management,Customer Advisory Board (CAB) Management
,MARKETING,Product Marketing,Post-Launch & Lifecycle Mktg.,Customer Advocacy & Retention,Customer Reference & Testimonial Program,
,MARKETING,Product Marketing,Post-Launch & Lifecycle Mktg.,Customer Advocacy & Retention,Online Review Generation Campaigns,
,MARKETING,Product Marketing,Post-Launch & Lifecycle Mktg.,Upsell & Cross-sell Strategy,Identifying & Messaging Expansion Opportunities,
,MARKETING,Brand Management,Brand Strategy & Architecture,Core Brand Strategy,"Defining Brand Purpose, Vision & Mission",
,MARKETING,Brand Management,Brand Strategy & Architecture,Core Brand Strategy,Defining Brand Values & Personality Traits,
,MARKETING,Brand Management,Brand Strategy & Architecture,Core Brand Strategy,Brand Positioning Statement,Defining Target Audience
,MARKETING,Brand Management,Brand Strategy & Architecture,Core Brand Strategy,Brand Positioning Statement,Defining Frame of Reference (Market Category)
,MARKETING,Brand Management,Brand Strategy & Architecture,Core Brand Strategy,Brand Positioning Statement,Defining Point of Difference & Reasons to Believe
,MARKETING,Brand Management,Brand Strategy & Architecture,Brand Architecture,Portfolio Strategy (Branded House vs. House of Brands),
,MARKETING,Brand Management,Brand Strategy & Architecture,Brand Architecture,Sub-brand & Endorsed Brand Strategy,
